education,experience,license,advancement,qualities,Occupation
"Every state has at least one land-grant college that offers agricultural science degrees. Many other colleges and universities also offer agricultural science degrees or related courses. Soil and plant scientists typically need a bachelor'sdegreeinagricultureor a related field, such asbiologyor chemistry.
","Internships are highly recommended for prospective food scientists and technologists. Many entry-level jobs in this occupation are related to food manufacturing, and firsthand experience is often valued in that environment.
","Some states require soil scientists to be licensed to practice. Licensing requirements vary by state, but generally include holding a bachelor’s degree with a certain number of credit hours in soil science, working under a licensed scientist for a certain number of years, and passing an exam.
",,"Communication skills.Communication skills are critical for agricultural and food scientists. They must explain their studies: what they were trying to learn, the methods they used, what they found, and what they think the implications of their findings are. They must also communicate well when working with others, including technicians and student assistants.
",Soil and plant scientists
"High school students interested in becoming a biochemist or biophysicist should take classes in natural and physical sciences, as well as in math.
",,,"Some biochemists and biophysicists becomenatural sciences managers. Those who pursue management careers spend much of their time on administrative tasks, such as preparing budgets and schedules.
","Analytical skills.Biochemists and biophysicists must be able to conduct scientific experiments and analyses with accuracy and precision.
",Biochemists and biophysicists
"Microbiologists typically need at least a bachelor’sdegreein microbiology or a related field, such asbiology.
",,"Some employers prefer to hire microbiologists who have earned certification, which is typically not required otherwise. Microbiologist certifications are available for a variety of specialties. For example, theAmerican Society for Clinical Pathologyoffers certification that may be helpful for clinical microbiologists.
","Some microbiologists move into managerial positions, often asnatural sciences managers. Others becomepostsecondary teachers, which typically requires a Ph.D. and postdoctoral research experience.
","Communication skills.Microbiologists must be able to effectively communicate the results of their research, both orally and in writing.
",Microbiologists
"Zoologists and wildlife biologists typically need a bachelor’s degree to enter the occupation. Students may pursue a degree in zoology, wildlife biology, or a relatedfield, such asnatural resources. Some students major inbiologyand take coursework in zoology and wildlife biology.
","Some zoologists and wildlife biologists need outdoor skills to work in remote locations. For example, they may need to be comfortable driving a tractor, boat, or all-terrain vehicle (ATV); using a generator; or providing for themselves.
",,"Zoologists and wildlife biologists typically take on greater responsibility and independence in their work as they gain experience or have more education. For example, zoologists and wildlife biologists with a Ph.D. may lead independent research and control the direction and content of projects.
","Attention to detail.Zoologists and wildlife biologists must be able to notice changes in an animal’s behavior or appearance.
",Zoologists and wildlife biologists
"Psychologists typically need at least a master’s degree to enter the occupation. Applicants to graduate-level psychology programs typically have a bachelor's degree in afieldsuch aspsychology,education, orsocial science.
",,"Most states require licensure for those who provide psychology services or use the title “psychologist.” All states and the District of Columbia require that psychologists who practice independently be licensed where they work. Licensing laws vary by state and by type of position. For more information, contact your state’s licensing board.
",,"Analytical skills.Psychologists examine the information they collect and draw logical conclusions.
",Industrial-organizational psychologists
"Psychologists typically need at least a master’s degree to enter the occupation. Applicants to graduate-level psychology programs typically have a bachelor's degree in afieldsuch aspsychology,education, orsocial science.
",,"Most states require licensure for those who provide psychology services or use the title “psychologist.” All states and the District of Columbia require that psychologists who practice independently be licensed where they work. Licensing laws vary by state and by type of position. For more information, contact your state’s licensing board.
",,"Analytical skills.Psychologists examine the information they collect and draw logical conclusions.
",Clinical and counseling psychologists
"Psychologists typically need at least a master’s degree to enter the occupation. Applicants to graduate-level psychology programs typically have a bachelor's degree in afieldsuch aspsychology,education, orsocial science.
",,"Most states require licensure for those who provide psychology services or use the title “psychologist.” All states and the District of Columbia require that psychologists who practice independently be licensed where they work. Licensing laws vary by state and by type of position. For more information, contact your state’s licensing board.
",,"Analytical skills.Psychologists examine the information they collect and draw logical conclusions.
",School psychologists
"Psychologists typically need at least a master’s degree to enter the occupation. Applicants to graduate-level psychology programs typically have a bachelor's degree in afieldsuch aspsychology,education, orsocial science.
",,"Most states require licensure for those who provide psychology services or use the title “psychologist.” All states and the District of Columbia require that psychologists who practice independently be licensed where they work. Licensing laws vary by state and by type of position. For more information, contact your state’s licensing board.
",,"Analytical skills.Psychologists examine the information they collect and draw logical conclusions.
","Psychologists, all other"
"Sociologists typically need a master’s degree to enter the occupation. Depending on the position, some employers prefer to hire candidates who have a Ph.D.
",,,,"Adaptability.Sociologists must let research guide their approach to the social issues they study and adjust their methods if needed.
",Sociologists
"Urban and regional planners typically need a master'sdegreein urban and regional planning or a related field. Admission to master's degree programs typically requires a bachelor’s degree. Programs usually do not specify a particular undergraduate degree for admission, but students may benefit from having a background inarchitecture,social science,business, or a related field.
","Some entry-level positions require work experience in a related field, such as architecture, public policy, or economic development. Students may gain relevant experience through internships while enrolled in, or after completing, their degree program.
","Most states do not require urban and regional planners to be licensed. New Jersey is an exception; information about its licensing requirements is available from theregulatory board of New Jersey.
",,"Analytical skills.Urban and regional planners evaluate information from a variety of sources, such as market research studies, censuses, and environmental impact studies.
",Urban and regional planners
"Anthropologists and archeologists typically need at least a master’s degree to enter the occupation. Some positions require a Ph.D.
","Employers may prefer to hire candidates who have experience in anthropology or archeology. Candidates gain this experience through field training or internships while still in school.
",,,"Analytical skills.Anthropologists and archeologists need to understand scientific methods and data to assess artifacts and other findings from their research.
",Anthropologists and archeologists
"High school students interested in becoming geographers should take classes in physical sciences, computer programming, and geography.
",,"Although not required, certification may indicate professional expertise. For example, theGIS Certification Instituteand theAmerican Society for Photogrammetry and Remote Sensingboth offer certification in GIS. Candidates may qualify for certification by passing an exam and meeting other requirements, such as for education or experience.
",,"Analytical skills.Geographers study data and information from a variety of sources and must be able to draw conclusions about their usefulness and meaning.
",Geographers
"Historians typically need a master’s degree or Ph.D. to enter the occupation. Many historians have a master’s degree in history or public history. Others complete degrees in related fields, such as museum studies, historical preservation, or archival management.
","Many employers recommend that prospective historians complete an internship during their formal educational studies. Internships offer an opportunity for students to learn practical skills, such as handling and preserving artifacts and creating exhibits. They also give students an opportunity to apply their academic knowledge in a hands-on setting.
",,,"Analytical skills.Historians must be able to examine various types of historical resources and draw clear and logical conclusions based on their findings.
",Historians
"Political scientists typically need a master’s degree to enter the occupation. Relevant master’s degree programs include fields such as political science, public administration, and public policy. These programs often have courses in other disciplines, such as psychology and economics, as well as in government, policy, and politics.
",,,,"Adaptability.Political scientists must be able to adjust their research methods as current events develop.
",Political scientists
"High school students interested in becoming an agricultural or food science technician should take science and math classes such as biology, chemistry, physics, and statistics.
","Workers who enter the occupation with a high school diploma or the equivalent may need experience in a related occupation that has helped them develop knowledge of agriculture or manufacturing processes. Examples of related occupations includefood and tobacco processing workersandagricultural workers.
",,,"Analytical skills.Agricultural and food science technicians must synthesize information from a variety of test results and samples.
",Agricultural technicians
"High school students interested in becoming an agricultural or food science technician should take science and math classes such as biology, chemistry, physics, and statistics.
","Workers who enter the occupation with a high school diploma or the equivalent may need experience in a related occupation that has helped them develop knowledge of agriculture or manufacturing processes. Examples of related occupations includefood and tobacco processing workersandagricultural workers.
",,,"Analytical skills.Agricultural and food science technicians must synthesize information from a variety of test results and samples.
",Food science technicians
"Biological technicians typically need a bachelor’sdegreeinbiologyor a related field, such asphysical scienceornatural resources. Positions are sometimes open to candidates who have less education than a bachelor's degree but have laboratory experience.
",,"Biological technicians who work with animals may need certification in animal care from the U.S. Department of LaborOccupational Safety and Health Administration(OSHA). This certification may include compliance training, such as in chemical hygiene and blood-borne pathogens.
","Biological technicians may advance to scientist positions, such asmicrobiologistorbiochemist and biophysicist, after a few years of experience working as a technician or after earning a graduate degree. Gaining more experience and education may allow biological technicians to move into other positions, such asnatural sciencesmanagers.
","Analytical skills.Biological technicians need to conduct experiments and evaluate results to reach sound conclusions.
",Biological technicians
"Chemical technicians typically need an associate's degree or 2 years of postsecondary education in applied science or chemical technology. Some employers prefer to hire candidates who have a bachelor'sdegreein those or related fields, such asbiologyorphysical science. Other employers may consider candidates who have a high school diploma.
",,,"Technicians who have a bachelor’s degree may advance to becomechemical engineersorchemists.
","Analytical skills.Chemical technicians must be methodical in conducting scientific experiments and interpreting data.
",Chemical technicians
"Environmental science and protection technicians typically need at least an associate’s degree in environmental science, environmental health, or public health, or a related field. Depending on the position, however, educational requirements may vary from a high school diploma to a bachelor’sdegree.
",,"Some states have specific requirements, such as a license or registration, for environmental science and protection technicians. Check with your state licensing agency for more information.
",,"Analytical skills.Environmental science and protection technicians evaluate the results of laboratory and field tests that they carry out.
","Environmental science and protection technicians, including health"
"Although entry-level positions typically require an associate’s degree in applied science or a science-related technology, employers may prefer to hire applicants who have a bachelor’s degree. Geological and hydrologic technician jobs that are data intensive or highly technical may require a bachelor’s degree.
",,"Some geological and hydrologic technicians may be required to have theOccupational Safety & Health Administration(OSHA) Hazardous Waste Operations and Emergency Response Standard (HAZWOPER) certification. HAZWOPER certification includes training in health hazards, personal protective equipment, site safety, recognizing and identifying hazards, and decontamination. Refresher training may be required to maintain certification.
",,"Analytical skills.Geological and hydrologic technicians evaluate data and samples using a variety of techniques, including laboratory experimentation and computer modeling.
","Geological technicians, except hydrologic technicians"
"Although entry-level positions typically require an associate’s degree in applied science or a science-related technology, employers may prefer to hire applicants who have a bachelor’s degree. Geological and hydrologic technician jobs that are data intensive or highly technical may require a bachelor’s degree.
",,"Some geological and hydrologic technicians may be required to have theOccupational Safety & Health Administration(OSHA) Hazardous Waste Operations and Emergency Response Standard (HAZWOPER) certification. HAZWOPER certification includes training in health hazards, personal protective equipment, site safety, recognizing and identifying hazards, and decontamination. Refresher training may be required to maintain certification.
",,"Analytical skills.Geological and hydrologic technicians evaluate data and samples using a variety of techniques, including laboratory experimentation and computer modeling.
",Hydrologic technicians
"Nuclear technicians typically need an associate’s degree to enter the occupation. Some community colleges and technical institutes offer programs in nuclear science, nuclear technology, or related fields. Students study nuclear energy, radiation, and the equipment and components used in nuclear power plants and laboratories. Other coursework includes mathematics, physics, and chemistry.
",,"Employers may prefer or require certification for nuclear technicians. In addition, nuclear technicians usually must undergo a background check and receive some type of security clearance after they are hired.
","With additional training and experience, technicians may becomenuclear power reactor operatorsat nuclear power plants.
","Attention to detail.Nuclear technicians must observe data from equipment sensors and gauges to ensure that systems are functioning properly and that radiation levels are controlled.
",Nuclear technicians
"Forensic science technicians typically need at least a bachelor’sdegreeto enter the occupation. An associate’s degree may be sufficient for some positions. Fields of study may includephysical science,biology, or forensic science. Forensic science programs may specialize in a specific area of study, such as toxicology, pathology, or DNA. A list of schools that offer degrees in forensic science is available from theAmerican Academy of Forensic Sciences.
",,"A range of licenses and certifications is available to forensic science technicians. These credentials typically are not required to enter the occupation but may demonstrate that candidates have a specific skill. For example, theInternational Association for Identificationoffers optional crime scene analyst certification.
",,"Analytical skills.Forensic science technicians must be able to evaluate evidence gathered at the scene of a crime and draw conclusions about what happened.
",Forensic science technicians
"Occupational health and safety specialists typically need a bachelor’sdegreein occupational health and safety or a related field, such asbiologyorhealthcare and relatedmajors. For some positions, a master’s degree is required. In addition to science, coursework should include topics such as ergonomics, safety management, and industrial hygiene.
","Some employers prefer to hire occupational health and safety specialists who have prior experience in the industry. Specialists may gain this experience by working in a related occupation, such ashealth and safety engineer.
","Employers may prefer or require occupational health and safety specialists and technicians to have professional certification. This certification is available through several organizations, such as theBoard for Global EHS Credentialing,Board of Certified Safety Professions, andNational Association of Safety Professionals.
",,"Communication skills.Occupational health and safety specialists and technicians deliver safety trainings and instruction to employees and managers. They also write reports that effectively convey their findings.
",Occupational health and safety specialists
"Occupational health and safety specialists typically need a bachelor’sdegreein occupational health and safety or a related field, such asbiologyorhealthcare and relatedmajors. For some positions, a master’s degree is required. In addition to science, coursework should include topics such as ergonomics, safety management, and industrial hygiene.
","Some employers prefer to hire occupational health and safety specialists who have prior experience in the industry. Specialists may gain this experience by working in a related occupation, such ashealth and safety engineer.
","Employers may prefer or require occupational health and safety specialists and technicians to have professional certification. This certification is available through several organizations, such as theBoard for Global EHS Credentialing,Board of Certified Safety Professions, andNational Association of Safety Professionals.
",,"Communication skills.Occupational health and safety specialists and technicians deliver safety trainings and instruction to employees and managers. They also write reports that effectively convey their findings.
",Occupational health and safety technicians
"Nearly all states and the District of Columbia require school counselors to have a master'sdegree, which is typically in a field such as counseling orpsychology. Degree programs teach counselors the essential skills of the job, such as how to foster development; conduct group and individual counseling; work with support systems, such as parents, school staff, and community organizations; and use data to develop, implement, and evaluate comprehensive counseling programs. These programs often require counselors to complete an internship.
",,"Public school counselors must have a state-issued credential to practice. Depending on the state, this credential may be called a certification, a license, or an endorsement. Obtaining this credential typically requires a master’s degree in school counseling, an internship or practicum completed under the supervision of a licensed professional school counselor, and successful completion of a test.
",,"Analytical skills.School and career counselors and advisors interpret student records, schoolwide data, and assessments to match interests and abilities with potential careers.
","Educational, guidance, and career counselors and advisors"
"To enter the occupation, marriage and family therapists need a master’s degree in psychology, marriage and family therapy, or a related mental health field from an accredited school. Organizations that accredit these programs include theCouncil for Accreditation of Counseling & Related Educational Programs(CACREP), theCommission on Accreditation for Marriage and Family Therapy Education(COAMFTE), and theMasters in Psychology and Counseling Accreditation Council(MPCAC).
",,"All states require marriage and family therapists to be licensed. Licensure requires a master’s degree and completion of a state-specified number of hours of postdegree supervised clinical experience. In addition, therapists must pass a state-recognized exam, such as that administered by theAssociation of Marital and Family Therapy Regulatory Boards, and complete annual continuing education classes. Some states require passage of a jurisprudence exam.
",,"Communication skills.Marriage and family therapists need to effectively convey ideas and listen to clients. Because they instruct clients on improving communication, it is important that they model effective communication themselves.
",Marriage and family therapists
"Many employers require or prefer that rehabilitation counselors have a master’s degree in rehabilitation counseling or a related field. Master’s degree programs teach students to evaluate clients’ needs, formulate and implement job placement strategies, and understand the medical and psychological aspects of disabilities. These programs typically include a period of supervised clinical experience, such as an internship.
",,"Licensing requirements for rehabilitation counselors differ by state and by type of services provided. Rehabilitation counselors who provide counseling services to clients must attain a counselor license through their state licensing board. Rehabilitation counselors who provide other services, however, may be exempt from state licensing requirements. For example, rehabilitation counselors who provide only vocational rehabilitation services or job placement assistance may not need a license.
",,"Communication skills.Rehabilitation counselors need to be able to communicate effectively with clients.
",Rehabilitation counselors
"Substance abuse, behavioral disorder, and mental health counselors typically need at least a bachelor’sdegree, although the education required or preferred may vary by position, state, or employer. For example, substance abuse and behavioral disorder counselors typically need a bachelor’s degree to enter the occupation, but requirements may vary from a high school diploma to a master’s degree.
","Counselors who have personal experience overcoming alcohol or drug addictions are sometimes viewed as especially helpful and insightful to those seeking treatment.
","Substance abuse and behavioral disorder counselors in private practice must be licensed. Licensing requirements vary by state, but all states require these counselors to have a master’s degree and complete a specified number of hours of supervised clinical experience. In addition, counselors must pass an examination and complete continuing education every year. Contact information for your state's regulating board is available through theNational Board for Certified Counselors.
","Substance abuse and behavioral disorder counselors who earn a master’s degree and complete a specified number of hours of supervised clinical experience are eligible to get a state license. This allows them to go into private practice or start their own business.
","Communication skills.Substance abuse, behavioral disorder, and mental health counselors need to effectively convey ideas and information to clients. They must also write concise but detailed reports documenting clients' progress.
","Substance abuse, behavioral disorder, and mental health counselors"
"Most social workers need either a bachelor’s or a master’s degree from a program accredited by theCouncil on Social Work Education.
",,"All states require clinical social workers to be licensed. Some states also require nonclinical social workers to have a license or credential.
",,"Communication skills.Clients talk to social workers about challenges in their lives. To provide effective help, social workers must be able to listen to and understand their clients’ needs.
","Child, family, and school social workers"
"Most social workers need either a bachelor’s or a master’s degree from a program accredited by theCouncil on Social Work Education.
",,"All states require clinical social workers to be licensed. Some states also require nonclinical social workers to have a license or credential.
",,"Communication skills.Clients talk to social workers about challenges in their lives. To provide effective help, social workers must be able to listen to and understand their clients’ needs.
",Healthcare social workers
"Most social workers need either a bachelor’s or a master’s degree from a program accredited by theCouncil on Social Work Education.
",,"All states require clinical social workers to be licensed. Some states also require nonclinical social workers to have a license or credential.
",,"Communication skills.Clients talk to social workers about challenges in their lives. To provide effective help, social workers must be able to listen to and understand their clients’ needs.
",Mental health and substance abuse social workers
"Most social workers need either a bachelor’s or a master’s degree from a program accredited by theCouncil on Social Work Education.
",,"All states require clinical social workers to be licensed. Some states also require nonclinical social workers to have a license or credential.
",,"Communication skills.Clients talk to social workers about challenges in their lives. To provide effective help, social workers must be able to listen to and understand their clients’ needs.
","Social workers, all other"
"Health education specialists typically need at least a bachelor’sdegreein health education or health promotion. Employers may accept a variety of other majors, includingbusiness,social science, andhealthcare and relatedfields. Students may gain additional knowledge and skills through an internship.
",,"Employers may require or prefer that health education specialists obtain certification, such as the Certified Health Education Specialist (CHES) credential offered by theNational Commission for Health Education Credentialing, Inc.or the Certified Diabetes Care and Education Specialist (CDCES) credential offered by theCertification Board for Diabetes Care and Education.
",,"Analytical skills.Health education specialists collect and evaluate data to determine the needs of the people they serve.
",Health education specialists
"Probation officers and correctional treatment specialists typically need a bachelor's degree. Commonfields of degreeinclude criminal justice or a relatedsecurity and protective servicefield,social science, orpsychology. Requirements vary by jurisdiction.
","Although job requirements vary, volunteer or paid work experience in the criminal justice field may be helpful for some positions.
",,"Advancement to supervisory positions is based primarily on experience and performance. A master’s degree in criminal justice, social work, or psychology may be helpful for advancing.
","Communication skills.Probation officers and correctional treatment specialists must be able to effectively convey information to different types of people, including clients and their families,lawyers,judges, and treatment providers.
",Probation officers and correctional treatment specialists
"Although a high school diploma is typically required, some employers prefer to hire workers who have relevant work experience or education beyond high school. A certificate or an associate’s degree in a subject such as human services, gerontology (working with older adults), or social or behavioral science is becoming more common for workers entering this occupation. Although not required, a bachelor's degree infieldssuch associal science,psychology, orpublic policy and social servicesmay provide useful background knowledge.
",,,"For social and human service assistants, additional education is almost always necessary for advancement. In general, advancement to case management or social work jobs requires a bachelor’s or master’s degree in human services, counseling, rehabilitation, social work, or a related field.
","Communication skills.Social and human service assistants talk with clients about the challenges in their lives and assist them in getting help. These workers must be able to listen to their clients and to communicate the clients’ needs to organizations that can help them.
",Social and human service assistants
"Community health workers typically need at least a high school diploma, although some jobs require postsecondary education. Postsecondary community health worker programs may lead to a 1-year certificate or a 2-year associate’s degree. These programs cover topics such as wellness, ethics, and cultural awareness.
","Community health workers usually benefit from understanding the specific community, culture, medical condition, or disability with which they work. They may have personal experience in these areas, or they may gain experience by working in activities such as community development, public health, or social outreach.
","Some states require certification for community health workers, which may include completing an approved training program. For more information, contact your state’s board of health, nursing, or human services.
","Experienced community health workers may move into supervisory positions.
","Communication skills.Community health workers must be able to clearly convey information in health-related materials to those they serve and in written proposals for programs and funding.
",Community health workers
"To enter their occupation, conservation scientists and foresters typically need a bachelor'sdegreein forestry,natural resources, or a related subject, such asagricultureorbiology.
",,"Several states may require some type of credentialing process for conservation scientists and foresters. In some of these states, conservation scientists and foresters must be licensed; check with your state licensing board for more information.
",,"Analytical skills.Conservation scientists and foresters must be able to evaluate results from field tests and experiments to determine potential impacts on soil, forest lands, and the spread of fires.
",Conservation scientists
"To enter their occupation, conservation scientists and foresters typically need a bachelor'sdegreein forestry,natural resources, or a related subject, such asagricultureorbiology.
",,"Several states may require some type of credentialing process for conservation scientists and foresters. In some of these states, conservation scientists and foresters must be licensed; check with your state licensing board for more information.
",,"Analytical skills.Conservation scientists and foresters must be able to evaluate results from field tests and experiments to determine potential impacts on soil, forest lands, and the spread of fires.
",Foresters
"Epidemiologists typically need at least a master’s degree. The degree may be in a range of fields or specializations, although a master’s degree in public health with an emphasis in epidemiology is common. Epidemiologists who direct research projects—including those who work aspostsecondary teachersin colleges and universities—often have a Ph.D. or medical degree in their chosen field.
",,,,"Communication skills.Epidemiologists use speaking and writing skills to inform officials and the public, such as for community outreach activities to explain health risks. They also must be able to convey information effectively to other health workers.
",Epidemiologists
"Medical scientists typically need a Ph.D. or medical degree. Candidates sometimes qualify for positions with a master’s degree and experience. Applicants to master’s or doctoral programs typically have a bachelor'sdegreeinbiologyor a relatedphysical sciencefield, such as chemistry.
",,"Medical scientists primarily conduct research and typically do not need licenses or certifications. However, those who practice medicine, such as by treating patients in clinical trials or in private practice, must be licensed asphysiciansor other healthcare practitioners.
",,"Communication skills.Medical scientists must be able to explain their research in nontechnical ways. In addition, they may write grant proposals in order to get funding for their research.
","Medical scientists, except epidemiologists"
"A Ph.D. in physics, astronomy, or a related field is typically required for jobs in research or academia.
",,"Some positions with the federal government, such as those involving nuclear energy, may require applicants to be U.S. citizens and hold a security clearance.
","With experience, physicists and astronomers may gain greater independence in their work and advance to senior positions. Experience also may lead to tenure for those in university positions. Some physicists and astronomers advance to becomenatural sciences managers.
","Analytical skills.Physicists and astronomers must evaluate their work and the work of others to avoid errors that could invalidate their research.
",Astronomers
"A Ph.D. in physics, astronomy, or a related field is typically required for jobs in research or academia.
",,"Some positions with the federal government, such as those involving nuclear energy, may require applicants to be U.S. citizens and hold a security clearance.
","With experience, physicists and astronomers may gain greater independence in their work and advance to senior positions. Experience also may lead to tenure for those in university positions. Some physicists and astronomers advance to becomenatural sciences managers.
","Analytical skills.Physicists and astronomers must evaluate their work and the work of others to avoid errors that could invalidate their research.
",Physicists
"Atmospheric scientists typically need a bachelor’sdegreein meteorology or a relatedphysical science. In addition to meteorology and atmospheric science, course requirements may include physics, mathematics, and computer programming.
","Experience gained in the military or through opportunities during college, such as internships or volunteering, may be helpful for prospective atmospheric scientists. For example, the National Weather Service offersopportunities for studentsthrough internship, fellowship, volunteer, and scholarship programs.
","Although not required, professional certification may benefit atmospheric scientists in some fields. For example, forensic meteorologists may enhance their credibility for testimony if they have theAmerican Meteorological Society’s (AMS)Certified Consulting Meteorologistcredential.
",,"Analytical skills.Atmospheric scientists need to evaluate large amounts of data produced by computer models.
",Atmospheric and space scientists
"Chemists and materials scientists typically need a bachelor'sdegreein chemistry or a relatedphysical sciencefield. Some jobs require a master’s degree or Ph.D. and work experience. Chemists and materials scientists with a Ph.D. and postdoctoral experience may lead research teams.
",,,"Chemists may advance as they gain experience, typically by receiving greater responsibility and independence in their work.
","Analytical skills.Chemists and materials scientists need to evaluate the results of experiments to ensure accuracy in their research.
",Chemists
"Chemists and materials scientists typically need a bachelor'sdegreein chemistry or a relatedphysical sciencefield. Some jobs require a master’s degree or Ph.D. and work experience. Chemists and materials scientists with a Ph.D. and postdoctoral experience may lead research teams.
",,,"Chemists may advance as they gain experience, typically by receiving greater responsibility and independence in their work.
","Analytical skills.Chemists and materials scientists need to evaluate the results of experiments to ensure accuracy in their research.
",Materials scientists
"Environmental scientists and specialists typically need a bachelor'sdegreein environmental science or a related field. For example, students may major innatural resources,biology, orphysical science. Coursework in these fields often includes chemistry, geology, and physics. Students may find that specialized courses, such as in hydrology, waste management, or environmental policy and regulation, also are beneficial.
",,"Some employers prefer or require that candidates for environmental scientist and specialist positions have certification related to the work they will do.
","As environmental scientists and specialists gain experience, they may be given additional responsibilities. For example, they may supervise technicians or other scientists or be promoted to project leader, program manager, or some other management position.
","Analytical skills.Environmental scientists and specialists evaluate data to reach conclusions. They consider a range of methods and solutions in their analyses.
","Environmental scientists and specialists, including health"
"Geoscientists typically need a bachelor’s degree in geoscience or a relatedfield, such asphysical scienceornatural resources.
",,"Most states require licensing for geologists who offer services to the public. Public service activities include those associated with civil engineering projects, environmental protection, and regulatory compliance.
",,"Communication skills.Geoscientists must be able to present their research findings clearly to a variety of audiences, including both scientists and those who do not have a background in geoscience.
","Geoscientists, except hydrologists and geographers"
"Hydrologists typically need a bachelor’sdegreein aphysical sciencefield, such as geology or hydrology. Some employers prefer to hire candidates who have a master’s degree.
",,,,"Analytical skills.Hydrologists need to evaluate data collected in the field and examine the results of laboratory tests.
",Hydrologists
"Economists typically need a master’s degree. Positions in business, research, or international organizations may require a master’s degree or Ph.D. and work experience.
",,,,"Analytical skills.Economists must be able to review data and observe patterns to draw logical conclusions.
",Economists
"Survey researchers typically need a master’s degree or Ph.D. The master’s degree may be in a variety of fields, including marketing or survey research, statistics, or social sciences. A bachelor’sdegreeis sufficient for some entry-level positions.
","Prospective survey researchers can gain experience through internships or fellowships. Many businesses, research and polling firms, and marketing companies offer internships for college students or recent graduates who want to work in market and survey research. These opportunities, which provide valuable experience, can be very helpful toward getting a job.
","Although survey researchers are not required by law to be licensed or certified, certification can show a level of professional competence.
",,"Analytical skills.Survey researchers must be able to apply statistical techniques to large amounts of data and interpret the results correctly. They also should be proficient in the statistical software used to analyze data.
",Survey researchers
"Computer systems analysts typically need a bachelor'sdegreeincomputer and information technologyor a related field, such asmathematics. Because these analysts are involved in the business side of an organization, taking business courses or majoring in management information systems may be helpful. Some employers hire job candidates who have liberal arts degrees and have gained programming or technical expertise elsewhere.
",,,"With experience, systems analysts may advance to become project managers and lead a team of analysts. Some eventually become IT directors or chief technology officers. For more information, see the profile oncomputer and information systems managers.
","Analytical skills.Analysts must interpret complex information from various sources and decide the best way to move forward on a project. They must also figure out how changes may affect the project.
",Computer systems analysts
"Information security analysts typically need a bachelor’sdegreeincomputer and information technologyor a related field, such asengineeringormath. However, some workers enter the occupation with a high school diploma and relevant industry training and certifications.
","Information security analysts may need to have work experience in a related occupation. Many analysts have experience in an information technology department, often as anetwork and computer systems administrator.
","Many employers prefer to hire candidates who have information security certification. Some of these certifications, such asSecurity+, are for workers at the entry level; others, such as theCertified Information Systems Security Professional(CISSP), are designed for experienced information security workers. Certification in specialized areas, such as systems auditing, also is available.
","Information security analysts may advance to become chief security officers or another type ofcomputer and information systems manager. Information security analysts also may advance within the occupation as they gain experience. For example, they may lead a team of other information security analysts or become an expert in a particular area of information security.
","Analytical skills.Information security analysts study computer systems and networks and assess risks to determine improvements for security policies and protocols.
",Information security analysts
"Computer and information research scientists typically need a master’s or higher degree in computer science or a related field, such as computer engineering. A master’s degree usually requires 2 to 3 years of study after earning a bachelor’s degree in a computer-related field, such as computer science or information systems. Some employers prefer to hire candidates who have a Ph.D. Others, such as the federal government, may hire candidates who have a bachelor’sdegreeincomputer and information technology.
",,,"Some computer and information research scientists advance to becomecomputer and information systems managers.
","Analytical skills.Computer and information research scientists must be organized in their thinking to evaluate the results of their research.
",Computer and information research scientists
"Education requirements for computer support specialists vary. Computer user support specialist jobs require some computer knowledge but not necessarily a college degree. Applicants who have taken courses in areas such as networking, server administration, and information security may qualify for these jobs. For computer network support specialists, employers may accept applicants who have an associate’s degree, although some prefer that applicants have a bachelor’s degree.
",,"Certification programs are generally offered by vendors or from vendor-neutral certification providers. Certification validates the knowledge of and best practices required by computer support specialists. Companies may require their computer support specialists to hold certifications in the products the companies use. Other types of certifications, such asCompTIA A+, may be a helpful starting point for workers seeking entry into the occupation.
","Many computer support specialists advance to other information technology positions, such asinformation security analysts,network and computer systems administratorsandsoftware developers. Some become managers in the computer support services department. Some organizations provide paths for support specialists to move into other parts of the organization, such as sales.
","Communication skills.Computer support specialists must clearly convey information, both orally and in writing. They must describe solutions to computer problems in way that nontechnical users can understand.
",Computer network support specialists
